athlete,age,country,year,gold,silver,bronze,total
Avengers,23,United,2008,1,2,3,6
Lokeshwar Tailor,23,India,2008,8,0,0,8
Avengers,23,United,2008,1,2,1,6
Lokeshwar Tailor,23,India,2008,8,0,0,8
Avengers,23,United,2008,1,1,3,6
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
Lokeshwar Tailor,23,India,2008,8,0,0,8
